match_id,cmp_id,homeTeamId,awayTeamId,startTime,endTime,startDate,startingTime,courtId,courtName,quaterFinal,semiFinals,final,referee_id,winningTeam,losingTeam,winningTeamGoals,losingTeamGoals,winningTeamPoints,losingTeamPoints,status,round,isDraw,last_match,is_bye,note,is_forfeited,is_cancel,homeTeamKits,awayTeamKits,homeTeamName,awayTeamName,competitionName,seasonName
97959,430,19,17,6/9/2023 18:45,6/9/2023 20:00,6/9/2023,18:45:00,11,Series Futsal Arena,,,,1,17,19,15,2,3,0,Completed,20,no,no,FALSE,NULL,FALSE,no,0,0,Altona Knights FC,Fitzroy FC,2023/1 Series Futsal Victoria Men,2023/1
97960,430,331,21,6/9/2023 20:00,6/9/2023 21:15,6/9/2023,20:00:00,11,Series Futsal Arena,,,,1,21,331,9,2,3,0,Completed,20,no,no,FALSE,NULL,FALSE,no,0,0,Hume FC,Campbellfield FC,2023/1 Series Futsal Victoria Men,2023/1
97961,430,20,19,6/16/2023 21:15,6/16/2023 22:30,6/16/2023,21:15:00,11,Series Futsal Arena,,,,1,20,19,5,4,0,0,Completed,21,no,no,FALSE,NULL,FALSE,no,0,0,Western United FC,Altona Knights FC,2023/1 Series Futsal Victoria Men,2023/1
97962,430,21,22,6/16/2023 22:30,6/16/2023 23:45,6/16/2023,22:30:00,11,Series Futsal Arena,,,,1,21,22,11,5,3,0,Completed,21,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,FC Carlton Heart,2023/1 Series Futsal Victoria Men,2023/1
97963,430,17,18,6/16/2023 18:30,6/16/2023 19:45,6/16/2023,18:30:00,11,Series Futsal Arena,,,,1,17,18,4,3,0,0,Completed,21,no,no,FALSE,NULL,FALSE,no,0,0,Fitzroy FC,Moreland Blues FC,2023/1 Series Futsal Victoria Men,2023/1
97964,430,325,331,6/16/2023 20:00,6/16/2023 21:15,6/16/2023,20:00:00,11,Series Futsal Arena,,,,1,331,325,4,3,3,0,Completed,21,no,no,FALSE,NULL,FALSE,no,0,0,Roxburgh Park Gorillas,Hume FC,2023/1 Series Futsal Victoria Men,2023/1
123999,527,322,17,7/21/2023 18:45,7/21/2023 20:00,7/21/2023,18:45:00,11,Series Futsal Arena,,,,1,17,322,9,2,3,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,Metropolitan FC,Fitzroy FC,2023/2 Series Futsal  Men,2023/2
124000,527,22,19,7/21/2023 20:00,7/21/2023 21:15,7/21/2023,20:00:00,11,Series Futsal Arena,,,,1,19,22,6,1,3,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,FC Carlton Heart,Altona Knights FC,2023/2 Series Futsal  Men,2023/2
124001,527,21,331,7/21/2023 21:15,7/21/2023 22:30,7/21/2023,21:15:00,11,Series Futsal Arena,,,,1,21,331,7,3,3,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,Campbellfield FC,Hume FC,2023/2 Series Futsal  Men,2023/2
124002,527,18,325,7/21/2023 22:30,7/21/2023 23:45,7/21/2023,22:30:00,11,Series Futsal Arena,,,,1,18,325,10,1,3,0,Completed,1,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Roxburgh Park Gorillas,2023/2 Series Futsal  Men,2023/2
124003,527,18,322,7/28/2023 18:45,7/28/2023 20:00,7/28/2023,18:45:00,11,Series Futsal Arena,,,,1,18,322,16,2,3,0,Completed,2,no,no,FALSE,NULL,FALSE,no,0,0,Moreland Blues FC,Metropolitan FC,2023/2 Series Futsal  Men,2023/2
